REASON,YEAR,AUTHOR,TITLE,JOURNAL,ISSN,PAGES,ISSUE,VOL,Y/N,NOTES,
,2011,"Bansal, Raman; Hulbert, Scot; Schemerhorn, Brandi; Reese, John C.; Whitworth, R. Jeff; Stuart, Jeffrey J.; Chen, Ming-Shun","Hessian Fly-Associated Bacteria: Transmission, Essentiality, and Composition",Plos One,1932-6203,e23170,8,6,Studies that met inclusion criteria and were included in analysis,,
,2011,"Pinto-Tomas, Adrian A.; Sittenfeld, Ana; Uribe-Lorio, Lorena; Chavarria, Felipe; Mora, Marielos; Janzen, Daniel H.; Goodman, Robert M.; Simon, Holly M.",Comparison of Midgut Bacterial Diversity in Tropical Caterpillars (Lepidoptera: Saturniidae) Fed on Different Diets,Environmental Entomology,0046-225X,1111-1122,5,40,Studies that met inclusion criteria and were included in analysis,,
,2013,"Rodriguez-Romero, Norelys; Abecia, Leticia; Martinez-Vallespin, Beatriz; Fondevila, Manuel",Characterisation of caecal microbial diversity of lactating does and their offspring given diets with different neutral detergent soluble to insoluble fibre ratios,Antonie Van Leeuwenhoek International Journal of General and Molecular Microbiology,0003-6072,1057-1068,5,103,Studies that met inclusion criteria and were included in analysis,,
,2014,"Arnal, Marie-Edith; Zhang, Jing; Messori, Stefano; Bosi, Paolo; Smidt, Hauke; Lalles, Jean-Paul","Early Changes in Microbial Colonization Selectively Modulate Intestinal Enzymes, but Not Inducible Heat Shock Proteins in Young Adult Swine",PLoS One,1932-6203,e87967,2,9,Studies that met inclusion criteria and were included in analysis,,
,2014,"Ma, Jun; Prince, Amanda L.; Bader, David; Hu, Min; Ganu, Radhika; Baquero, Karalee; Blundell, Peter; Harris, R. Alan; Frias, Antonio E.; Grove, Kevin L.; Aagaard, Kjersti M.",High-fat maternal diet during pregnancy persistently alters the offspring microbiome in a primate model,Nature Communications,2041-1723,3889,,5,Studies that met inclusion criteria and were included in analysis,,
,2014,"Kohl, Kevin D.; Skopec, Michele M.; Dearing, M. Denise",Captivity results in disparate loss of gut microbial diversity in closely related hosts,Conservation Physiology,2051-1434,cou009,1,2,Studies that met inclusion criteria and were included in analysis,,
,2015,"Arnal, Marie-Edith; Zhang, Jing; Erridge, Clett; Smidt, Hauke; Lalles, Jean-Paul","Maternal Antibiotic-Induced Early Changes in Microbial Colonization Selectively Modulate Colonic Permeability and Inducible Heat Shock Proteins, and Digesta Concentrations of Alkaline Phosphatase and TLR-Stimulants in Swine Offspring",PLoS One,1932-6203,e0118092,2,10,Studies that met inclusion criteria and were included in analysis,,
,2016,"Martinez-Garcia, Angela; Martin-Vivaldi, Manuel; Ruiz-Rodriguez, Magdalena; Martinez-Bueno, Manuel; Arco, Laura; Rodriguez-Ruano, Sonia M.; Manuel Peralta-Sanchez, Juan; Jose Soler, Juan",The Microbiome of the Uropygial Secretion in Hoopoes Is Shaped Along the Nesting Phase,Microbial Ecology,0095-3628,252-261,1,72,Studies that met inclusion criteria and were included in analysis,,
,2016,"Shukla, Shantanu P.; Sanders, Jon G.; Byrne, Marcus J.; Pierce, Naomi E.",Gut microbiota of dung beetles correspond to dietary specializations of adults and larvae,Molecular Ecology,0962-1083,6092-6106,24,25,Studies that met inclusion criteria and were included in analysis,,
,2016,"Staudacher, Heike; Kaltenpoth, Martin; Breeuwer, Johannes A. J.; Menken, Steph B. J.; Heckel, David G.; Groot, Astrid T.",Variability of Bacterial Communities in the Moth Heliothis virescens Indicates Transient Association with the Host,Plos One,1932-6203,e0154514,5,11,Studies that met inclusion criteria and were included in analysis,,
,2016,"Li, Zhipeng; Wright, Andre-Denis G.; Si, Huazhe; Wang, Xiaoxu; Qian, Wenxi; Zhang, Zhigang; Li, Guangyu",Changes in the rumen microbiome and metabolites reveal the effect of host genetics on hybrid crosses,Environmental Microbiology Reports,1758-2229,1016-1023,6,8,Studies that met inclusion criteria and were included in analysis,,
,2017,"Jasarevic, Eldin; Howard, Christopher D.; Misic, Ana M.; Beiting, Daniel P.; Bale, Tracy L.",Stress during pregnancy alters temporal and spatial dynamics of the maternal and offspring microbiome in a sex-specific manner,Scientific Reports,2045-2322,44182,,7,Studies that met inclusion criteria and were included in analysis,,
,2017,"Kreisinger, Jakub; Kropáčková, Lucie; Petrželková, Adéla; Adámková, Marie; Tomášek, Oldřich; Martin, Jean-François; Michálková, Romana; Albrecht, Tomáš",Temporal Stability and the Effect of Transgenerational Transfer on Fecal Microbiota Structure in a Long Distance Migratory Bird,Frontiers in Microbiology,1664-302X,50,,8,Studies that met inclusion criteria and were included in analysis,,
,2017,"Leite, Deborah C. A.; Leao, Pedro; Garrido, Amana G.; Lins, Ulysses; Santos, Henrique F.; Pires, Debora O.; Castro, Clovis B.; van Elsas, Jan D.; Zilberberg, Carla; Rosado, Alexandre S.; Peixoto, Raquel S.",Broadcast Spawning Coral Mussismilia hispida Can Vertically Transfer its Associated Bacterial Core,Frontiers in Microbiology,1664-302X,176,,8,Studies that met inclusion criteria and were included in analysis,,
,2017,"Zhou, Guowei; Cai, Lin; Yuan, Tao; Tian, Renmao; Tong, Haoya; Zhang, Weipeng; Jiang, Lei; Guo, Minglan; Liu, Sheng; Qian, Pei-Yuan; Huang, Hui",Microbiome dynamics in early life stages of the scleractinian coral Acropora gemmifera in response to elevated pCO(2),Environmental Microbiology,1462-2912,3342-3352,8,19,Studies that met inclusion criteria and were included in analysis,,
,2018,"Antwis, Rachael E.; Lea, Jessica M. D.; Unwin, Bryony; Shultz, Susanne",Gut microbiome composition is associated with spatial structuring and social interactions in semi-feral Welsh Mountain ponies,Microbiome,2049-2618,207,,6,Studies that met inclusion criteria and were included in analysis,,
,2018,"Chen, Xue; Xu, Jumei; Ren, Erdou; Su, Yong; Zhu, Weiyun",Co-occurrence of early gut colonization in neonatal piglets with microbiota in the maternal and surrounding delivery environments,Anaerobe,1075-9964,30-40,,49,Studies that met inclusion criteria and were included in analysis,,
,2018,"Guo, Yanjie; Wang, Zhenling; Chen, Liang; Tang, Li; Wen, Shu; Liu, Yinhui; Yuan, Jieli",Diet induced maternal obesity affects offspring gut microbiota and persists into young adulthood,Food & Function,2042-6496,4317-4327,8,9,Studies that met inclusion criteria and were included in analysis,,
,2018,"Hasan, Shah; Junnikkala, Sami; Peltoniemi, Olli; Paulin, Lars; Lyyski, Annina; Vuorenmaa, Juhani; Oliviero, Claudio",Dietary supplementation with yeast hydrolysate in pregnancy influences colostrum yield and gut microbiota of sows and piglets after birth,PLoS One,1932-6203,e0197586,5,13,Studies that met inclusion criteria and were included in analysis,,
,2018,"Jasarevic, Eldin; Howard, Christopher D.; Morrison, Kathleen; Misic, Ana; Weinkopff, Tiffany; Scott, Phillip; Hunter, Christopher; Beiting, Daniel; Bale, Tracy L.",The maternal vaginal microbiome partially mediates the effects of prenatal stress on offspring gut and hypothalamus,Nature Neuroscience,1097-6256,1061-1071,8,21,Studies that met inclusion criteria and were included in analysis,,
,2018,"Maradiaga, Nidia; Aldridge, Brian; Zeineldin, Mohamed; Lowe, James",Gastrointestinal microbiota and mucosal immune gene expression in neonatal pigs reared in a cross-fostering model,Microbial Pathogenesis,1096-1208,27-39,,121,Studies that met inclusion criteria and were included in analysis,,
,2018,"Martin-Vivaldi, Manuel; Jose Soler, Juan; Martinez-Garcia, Angela; Arco, Laura; Juarez-Garcia-Pelayo, Natalia; Ruiz-Rodriguez, Magdalena; Martinez-Bueno, Manuel",Acquisition of Uropygial Gland Microbiome by Hoopoe Nestlings,Microbial Ecology,0095-3628,285-297,1,76,Studies that met inclusion criteria and were included in analysis,,
