NUMBER,YEAR,AUTHOR,TITLE,SPECIES,TAXA,WILDLIFE,REPRO,PCARE,SEQUENCING,DESIGN,FUNCTION,ENVIRON,PHEN,MOM_REGION,O_REGION,OVERLAP,SHANNON,OTU,PCOA,BC,UNIFRAC,PERMANOVA,NOTES,,,,,,
1,2010,"Friswell, Melissa K.; Gika, Helen; Stratford, Ian J.; Theodoridis, Georgios; Telfer, Brian; Wilson, Ian D.; McBain, Andrew J.",Site and strain-specific variation in gut microbiota profiles and metabolism in experimental mice,Mus musculus,Mammal,N,Viviparous,Y,PCR-DGGE,Experimental,Y,N,N,Fecal,Fecal,N,N,N,N,N,N,N,Used PCR DGGE to analyze 16S gene,,,,,,
2,2011,"Bansal, Raman; Hulbert, Scot; Schemerhorn, Brandi; Reese, John C.; Whitworth, R. Jeff; Stuart, Jeffrey J.; Chen, Ming-Shun","Hessian Fly-Associated Bacteria: Transmission, Essentiality, and Composition",Mayetiola destructor,Invertebrate,Y,Oviparous,N,16S,Experimental,N,N,Y,Gut,Whole body,Y,N,N,N,N,N,N,"Used culture dependent and culture independent methods; sampled for 16S from first instars, pupae, and adults; used antibiotics; statistical analyses not descriptive; used ABI Prism 3700 DNA Analyzer to sequence PCR products",,,,,,
3,2011,"Pinto-Tomas, Adrian A.; Sittenfeld, Ana; Uribe-Lorio, Lorena; Chavarria, Felipe; Mora, Marielos; Janzen, Daniel H.; Goodman, Robert M.; Simon, Holly M.",Comparison of Midgut Bacterial Diversity in Tropical Caterpillars (Lepidoptera: Saturniidae) Fed on Different Diets,Rothschildia lebeau,Invertebrate,Y,Oviparous,N,ARDRA,Experimental,N,Y,Y,Gut,Whole egg,Y,Y,Y,N,N,N,N,"Might have used more advanced statistical tests, but information was not listed in manuscript; used Amplified Ribosomal DNA Restriction Analysis (ARDRA) and Applied Biosystems 3700 automated DNA sequencing instrument; adults may not have laid eggs directly and were from only one species in paper (R. lebeau)",,,,,,
4,2012,"Toenshoff, Elena R.; Gruber, Daniela; Horn, Matthias",Co-evolution and symbiont replacement shaped the symbiosis between adelgids (Hemiptera: Adelgidae) and their bacterial symbionts,Multiple species,Invertebrate,Y,Oviparous,N,RFLP,Observational,N,N,N,Whole body,Whole egg,N,N,N,N,N,N,N,Utilized two species: Adelges abietis and viridis; used RFLP of 16S rRNA gene sequences,,,,,,
5,2013,"Rodriguez-Romero, Norelys; Abecia, Leticia; Martinez-Vallespin, Beatriz; Fondevila, Manuel",Characterisation of caecal microbial diversity of lactating does and their offspring given diets with different neutral detergent soluble to insoluble fibre ratios,Oryctolagus cuniculus,Mammal,N,Viviparous,Y,PCR-DGGE,Experimental,N,N,N,Fecal,Gut,Y,Y,N,N,N,N,N,Used PCR-DGGE in rabbits,,,,,,
6,2013,"Starke, I. C.; Pieper, R.; Neumann, K.; Zentek, J.; Vahjen, W.",Individual responses of mother sows to a probiotic Enterococcus faecium strain lead to different microbiota composition in their offspring,Sus scrofa domesticus,Mammal,N,Viviparous,Y,PCR-DGGE,Experimental,N,N,N,Fecal,Gut,Y,N,N,N,Y,N,N,"Used NMDS plot, Bray Curtis, and ANOSIM",,,,,,
7,2014,"Arnal, Marie-Edith; Zhang, Jing; Messori, Stefano; Bosi, Paolo; Smidt, Hauke; Lalles, Jean-Paul","Early Changes in Microbial Colonization Selectively Modulate Intestinal Enzymes, but Not Inducible Heat Shock Proteins in Young Adult Swine",Sus scrofa domesticus,Mammal,N,Viviparous,Y,PITChip,Experimental,Y,N,Y,Fecal,Gut,Y,Y,N,N,N,N,N,Offspring were sampled at 4 different time points from 2 mother treatments,,,,,,
8,2014,"Kohl, Kevin D.; Skopec, Michele M.; Dearing, M. Denise",Captivity results in disparate loss of gut microbial diversity in closely related hosts,Neotoma albigula,Mammal,Y,Viviparous,Y,Illumina Miseq,Observational,N,N,Y,Fecal,Fecal,Y,Y,Y,Y,N,N,N,"Main study was experimental, but no experimental manipulation occurred for transmission to offspring study; measured food intake and body mass of offfspring; used ANOSIM and unweighted Unifrac",,,,,,
9,2014,"Ma, Jun; Prince, Amanda L.; Bader, David; Hu, Min; Ganu, Radhika; Baquero, Karalee; Blundell, Peter; Harris, R. Alan; Frias, Antonio E.; Grove, Kevin L.; Aagaard, Kjersti M.",High-fat maternal diet during pregnancy persistently alters the offspring microbiome in a primate model,Mucaca fuscata,Mammal,Y,Viviparous,Y,Pyrosequencing,Experimental,Y,N,Y,Gut,Gut,Y,N,Y,Y,N,Y,Y,Also sampled from multiple regions of mother,,,,,,
10,2015,"Arnal, Marie-Edith; Zhang, Jing; Erridge, Clett; Smidt, Hauke; Lalles, Jean-Paul","Maternal Antibiotic-Induced Early Changes in Microbial Colonization Selectively Modulate Colonic Permeability and Inducible Heat Shock Proteins, and Digesta Concentrations of Alkaline Phosphatase and TLR-Stimulants in Swine Offspring",Sus scrofa domesticus,Mammal,N,Viviparous,Y,PITChip,Experimental,Y,N,N,Fecal,Gut,N,N,N,N,N,N,N,"Used a principle response curve to visualize results, did not really describe any overlaps between mother and offspring microbiota; same experiment from Arnal et al., 2014",,,,,,
